timestamp,y,velocity
0.2,178,
0.4,185,35.0
0.6,194,45.00000000000001
0.8,201,34.999999999999986
1.0,212,55.000000000000014
1.2,218,30.000000000000007
1.4,224,30.000000000000007
1.6,227,14.999999999999988
1.8,235,40.00000000000001
2.0,245,50.000000000000014
2.2,250,24.99999999999998
2.4,256,30.00000000000004
2.6,265,44.99999999999996
2.8,272,35.00000000000005
3.0,287,74.99999999999993
3.2,290,14.999999999999988
3.4,297,35.00000000000005
3.6,302,24.99999999999998
3.8,310,40.00000000000006
4.0,320,49.99999999999996
4.2,325,24.99999999999998
4.4,339,69.99999999999994
4.6,340,5.000000000000018
4.8,350,49.99999999999996
5.0,358,39.999999999999964
5.2,367,44.99999999999996
5.4,371,19.999999999999982
5.6,377,30.000000000000107
5.8,387,49.99999999999996
6.0,395,39.999999999999964
6.2,397,9.999999999999991
6.4,410,64.99999999999994
