timestamp,x,y,radius,velocity
0.0,314,179,29,
0.2,314,188,29,45.0
0.4,314,191,29,15.0
0.6000000000000001,315,197,28,29.99999999999999
0.8,314,212,28,75.00000000000001
1.0,314,219,28,35.00000000000001
1.2000000000000002,313,220,29,4.999999999999996
1.4000000000000001,315,233,29,65.00000000000001
1.6,313,238,28,25.000000000000007
1.8,314,243,29,25.000000000000007
2.0,314,250,29,35.00000000000001
2.2,314,256,28,29.999999999999975
2.4000000000000004,314,266,29,49.99999999999996
2.6,314,273,29,35.00000000000005
2.8000000000000003,314,287,28,69.99999999999994
3.0,313,287,29,0.0
3.2,314,301,29,69.99999999999994
3.4000000000000004,314,303,29,9.999999999999991
3.6,316,310,28,35.00000000000005
3.8000000000000003,315,323,29,64.99999999999994
4.0,313,326,29,15.00000000000002
4.2,314,339,29,64.99999999999994
4.4,313,344,29,24.99999999999998
4.6000000000000005,313,349,29,24.99999999999998
4.800000000000001,314,356,29,34.99999999999997
5.0,313,367,29,55.0000000000002
5.2,313,371,29,19.999999999999982
